date,pnl,longsize,shortsize,ret,holdpnl,tradepnl,poscov,negcov,pospnl,negpnl,IC,index_ret,rankpnl1,rankpnl2,rankpnl3,rankpnl4,rankpnl5,rankpnl6,rankpnl7,rankpnl8,rankpnl9,rankpnl10
20190304,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190305,-14000.0,10000000.0,-10000000.0,-0.0007,0.0,0.0,2490,805,-2000.0,-12000.0,nan,0.008809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190306,121623.17,10000000.0,-10000000.0,0.006081,-112688.29691068869,242543.99710666153,2458,960,239615.05,-117991.88,0.111221,0.015668,62208.62,46836.31,41890.83,30916.04,27878.05,22097.13,10303.58,-442.72,-16920.71,-94911.43
20190307,110783.2,10000000.0,-10000000.0,0.005539,89207.03335910846,26672.571017738286,2424,1012,178128.88,-67345.68,0.094907,0.001392,42557.83,36805.13,31027.24,27040.25,20082.18,15341.99,7199.75,-4883.45,-21949.39,-37341.92
20190308,-230628.6,10000000.0,-10000000.0,-0.011531,-94077.30685660397,-131453.98409461475,2424,1059,-501949.1,271320.5,-0.144086,-0.043959,-133851.96,-105025.1,-85183.44,-69355.55,-54031.64,-38791.64,-14145.54,15202.17,63474.79,196176.62
20190311,122736.28,10000000.0,-10000000.0,0.006137,-33089.846853039155,161198.0908263413,2450,1047,441808.68,-319072.4,0.111825,0.019237,119304.66,92112.01,76792.32,64469.76,48466.79,30863.83,11709.33,-16610.61,-67325.2,-231674.64
20190312,-43512.52,10000000.0,-10000000.0,-0.002176,-111673.8248277533,72080.28979882176,2472,1029,176112.96,-219625.48,-0.033189,0.011006,42348.56,33788.05,36125.62,27923.19,16643.64,15464.68,5173.58,-8962.4,-30736.23,-177362.22
20190313,152744.1,10000000.0,-10000000.0,0.007637,255093.33107649404,-97970.54194978994,2459,1043,-166720.73,319464.84,0.100107,-0.0109,-46158.2,-34591.6,-27399.94,-23673.93,-16304.29,-10711.7,-6536.79,6533.6,39395.77,276569.87
20190314,-48703.3,10000000.0,-10000000.0,-0.002435,45155.45214950386,-90437.39950986468,2455,1052,-286770.52,238067.22,-0.031692,-0.011981,-79326.71,-57276.79,-47823.48,-41440.0,-30124.86,-20802.63,-8944.1,10053.75,43689.67,186713.2
20190315,120623.22,10000000.0,-10000000.0,0.006031,98325.83878561521,26487.19304918639,2470,1056,184601.55,-63978.33,0.123274,0.010388,49294.35,36508.14,32435.29,23963.18,22236.71,15932.79,5689.87,-5752.25,-17280.19,-38214.86
20190318,-5550.11,10000000.0,-10000000.0,-0.000278,-79502.31245763664,78116.1370367978,2471,1056,239954.92,-245505.03,-0.001528,0.02471,63274.83,50679.26,39728.33,36344.94,28939.14,16353.36,6242.4,-8852.34,-38157.64,-195938.44
20190319,-21944.07,10000000.0,-10000000.0,-0.001097,-27781.999635726344,10258.70949840773,2498,1029,34731.98,-56676.05,-0.018798,-0.001758,11095.96,4208.31,4761.63,6083.99,5159.33,3710.3,1308.4,-2861.54,-7969.03,-43020.63
20190320,61021.02,10000000.0,-10000000.0,0.003051,76875.30171948421,-9815.59675967804,2525,1002,22915.95,38105.07,0.061437,-0.000108,7375.39,3785.09,2520.47,3813.64,4060.95,2077.58,1371.8,206.16,3342.66,38505.96
20190321,84150.82,10000000.0,-10000000.0,0.004208,26221.35539163245,62298.387308473655,2527,1000,129668.65,-45517.83,0.085388,0.003499,35848.6,25196.39,21857.29,17833.83,14198.16,11442.39,4893.57,-2981.36,-12948.88,-26820.25
20190322,3696.41,10000000.0,-10000000.0,0.000185,7111.934517938609,1203.0647547146364,2497,1031,55368.86,-51672.44,0.007213,0.000869,12297.73,10508.45,10052.43,10614.54,5929.68,5875.11,1757.08,-878.72,-7107.22,-40734.07
20190325,43278.14,10000000.0,-10000000.0,0.002164,85178.18209912322,-36019.58576100321,2488,1042,-75853.27,119131.42,0.03851,-0.019689,-18367.99,-7881.8,-12076.91,-15277.73,-11469.31,-7086.67,-1572.55,3383.01,15673.62,103834.93
20190326,-46083.62,10000000.0,-10000000.0,-0.002304,38218.934211015905,-78897.55690522323,2465,1066,-266130.37,220046.76,-0.034944,-0.015095,-65464.82,-50628.06,-47984.4,-38335.01,-32151.07,-20755.1,-9027.49,11015.97,42434.29,170217.06
20190327,-42949.13,10000000.0,-10000000.0,-0.002147,-78002.94784201152,40393.16541556628,2391,1141,58661.36,-101610.49,-0.035767,0.00855,17607.02,13135.28,6802.03,6873.28,5823.03,7272.3,3105.7,-4465.45,-9806.09,-83956.89
20190328,38398.53,10000000.0,-10000000.0,0.00192,116413.40552932821,-73961.83201157102,2407,1125,-127563.85,165962.38,0.039631,-0.009189,-30050.24,-25401.53,-21129.94,-20428.89,-14696.02,-11747.47,-2544.38,6857.9,22222.84,139369.3
