date, pnl, longsize, shortsize, ret, holdpnl, tradepnl, poscov, negcov, pospnl, negpnl, IC, index_ret,rankpnl1, rankpnl2, rankpnl3, rankpnl4, rankpnl5, rankpnl6, rankpnl7, rankpnl8, rankpnl9, rankpnl10
20200203,-4000.0,10000000.0,-10000000.0,-0.0002,0.0,0.0,903,2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200204,41327.31,10000000.0,-10000000.0,0.002066,0.0,41904.62899489234,916,2715,27428.83,26531.81,-0.057002,2783.2875,1.347637,0.348035,0.105011,-1.842022,-3.070418,-3.980197,-2.308173,-4.591876,-5.110882,-5.874034
20200205,-237289.26,10000000.0,-10000000.0,-0.011864,-11440.216192564501,-225400.49808683555,912,2727,-54621.46,-156605.09,0.000216,2818.0878,8.18102,7.075596,9.818146,10.111314,9.770996,10.644858,11.105188,9.982623,10.371598,9.469317
20200206,-215941.54,10000000.0,-10000000.0,-0.010797,-25697.273522869735,-189861.30230483628,920,2722,-48506.2,-157244.46,-0.00913,2866.5097,8.720147,8.332209,9.824696,10.292314,9.298215,10.089395,10.331364,9.513319,9.296883,8.354343
20200207,-101926.01,10000000.0,-10000000.0,-0.005096,15929.951879652814,-117515.97434382618,923,2731,-26308.84,-67008.1,0.009456,2875.9636,3.029914,3.485755,4.942268,4.456045,4.224882,4.478578,3.285726,5.234207,5.020927,4.422644
20200210,-133365.76,10000000.0,-10000000.0,-0.006668,-13564.69231345378,-119438.36072281613,932,2734,-36001.19,-95051.54,-0.004605,2890.4878,6.531221,6.998167,4.961174,5.525323,8.941985,5.678338,2.549554,5.781702,5.417282,7.467768
20200211,34766.61,10000000.0,-10000000.0,0.001738,370.393972570354,34690.17371237243,930,2742,11028.97,29678.07,0.000139,2901.6744,-0.811173,-0.74926,-2.193355,-2.721782,-2.58562,-2.349548,-2.157954,-1.23547,-2.620125,-1.353064
20200212,-147401.24,10000000.0,-10000000.0,-0.00737,-28988.631720215464,-118185.96970531312,928,2745,-31689.3,-98586.5,-0.006744,2926.8991,6.513394,5.178575,7.027035,6.043377,6.05049,5.556815,6.439313,5.677344,5.582737,5.489938
20200213,72064.32,10000000.0,-10000000.0,0.003603,-21314.16247817081,93600.09746619979,925,2749,20954.47,57929.77,-0.009394,2906.0735,-3.359398,-2.386443,-3.91781,-4.146903,-3.562529,-3.804174,-3.815191,-3.499314,-3.912817,-3.823776
20200214,-13961.73,10000000.0,-10000000.0,-0.000698,-10406.597175537996,-3298.8343210965086,920,2755,-336.98,-14228.25,-0.007568,2917.0077,0.898266,1.55456,0.775548,0.049567,1.108776,0.652031,1.159566,0.713104,-0.001216,-0.357097
20200217,-286043.88,10000000.0,-10000000.0,-0.014302,-7917.7921024451425,-277874.9825034169,913,2763,-69127.58,-202086.62,-0.000568,2983.6224,11.463554,11.239183,13.273958,12.532928,12.393317,12.467885,12.903172,12.989765,12.786163,12.043881
20200218,-147036.82,10000000.0,-10000000.0,-0.007352,-14876.888373728189,-131940.88423656794,913,2763,-33657.98,-103816.44,-0.004534,2984.9716,5.839387,4.40116,7.127126,7.143207,5.723548,5.743995,7.448449,6.899027,6.125402,6.407971
20200219,44983.22,10000000.0,-10000000.0,0.002249,34076.78437758877,11182.085265071626,911,2763,8379.43,34221.3,0.019159,2975.4019,-1.625305,-1.006752,-2.302557,-3.027333,-2.870533,-1.463237,-2.284136,-1.839426,-2.436371,-0.780576
20200220,-147566.86,10000000.0,-10000000.0,-0.007378,12189.191900403253,-159455.13711809437,909,2767,-39616.86,-107729.56,0.01062,3030.1542,7.467355,5.769711,6.053664,7.048115,6.88151,6.399326,6.084973,7.713364,6.898233,7.026632
20200221,-92882.6,10000000.0,-10000000.0,-0.004644,-17566.309085821347,-75065.5740044241,909,2767,-18283.23,-64460.51,-0.005144,3039.6692,2.81256,3.251104,5.445563,4.258595,3.588812,2.993683,4.789333,3.776874,3.436102,3.426958
20200224,-102281.46,10000000.0,-10000000.0,-0.005114,-66088.71388758408,-35949.34385623672,919,2759,-19031.01,-79910.75,-0.035119,3031.2333,3.171096,3.438429,6.379861,4.480166,4.273942,4.67045,7.143132,5.048235,3.633198,2.962682
20200225,16872.31,10000000.0,-10000000.0,0.000844,2676.35284775567,14472.143290177848,920,2759,4004.34,13164.56,0.001292,3013.0501,-1.628535,-1.737745,-0.04183,-1.286067,-0.215234,-1.811798,1.388071,-0.73155,-0.982026,-0.942666
20200226,113986.18,10000000.0,-10000000.0,0.005699,135022.4027865922,-20727.79557577058,917,2763,13868.29,98259.33,0.041302,2987.9287,-5.404946,-5.361034,-8.612263,-7.005628,-4.402957,-3.391465,-7.980112,-4.914535,-3.133388,-1.286358
20200227,-25409.19,10000000.0,-10000000.0,-0.00127,-10043.044087164593,-15076.315340651096,920,2761,-5769.67,-17361.72,-0.003413,2991.3288,2.553054,1.287788,2.010317,0.125214,1.157864,0.726398,0.119092,-0.31954,1.217321,1.583314
20200228,435409.71,10000000.0,-10000000.0,0.02177,41441.41912955267,394216.73719014786,922,2760,106150.37,316199.19,0.015396,2880.3038,-19.405823,-16.906269,-20.017027,-20.445036,-18.68255,-18.689164,-19.96456,-20.674186,-19.74941,-19.004495
20200302,-341970.7,10000000.0,-10000000.0,-0.017099,1959.1230332245177,-343654.0844561999,920,2763,-83543.51,-245881.54,0.005995,2970.9312,14.946509,15.583363,14.587976,14.842149,15.517377,14.443834,14.77077,15.585467,15.363723,15.100365
20200303,-102957.2,10000000.0,-10000000.0,-0.005148,-28914.91371116384,-73677.32941592946,924,2771,-23883.99,-75894.06,-0.018954,2992.8968,4.131643,4.517422,5.885479,5.184437,4.429185,4.266768,4.086642,4.493352,4.962637,3.57096
20200304,-85662.66,10000000.0,-10000000.0,-0.004283,37256.87018508757,-122682.7842492697,930,2765,-24047.24,-59353.81,0.024243,3011.6657,3.009304,4.861668,2.243886,3.81019,4.699122,3.74971,2.892396,4.012474,4.166905,4.641358
20200305,-153374.97,10000000.0,-10000000.0,-0.007669,102068.9738866809,-255139.028512874,935,2757,-43210.54,-106148.76,0.071389,3071.6771,7.517822,5.646194,5.257167,5.898394,7.877546,7.094112,5.632527,8.216836,7.521586,7.600716
20200306,11514.8,10000000.0,-10000000.0,0.000576,24240.643069568006,-12418.160578107669,932,2761,2046.39,10772.63,0.014576,3034.5113,-0.159459,-2.204907,-0.688441,-1.227479,-0.336237,0.197191,-0.513619,-0.903773,-0.053929,-0.121021
20200309,268457.35,10000000.0,-10000000.0,0.013423,54490.54154400517,214243.68543764087,933,2759,59361.06,201296.66,0.023598,2943.2907,-13.126118,-14.593567,-13.122877,-13.030496,-11.150357,-10.584866,-11.395318,-11.216257,-10.567553,-10.71362
